No,Gejala,Diagnosis
1,"menggigil, demam, sakit kepala",Malaria (bentuk benigma)
2,"Kaku kuduk, penurunan kesadaran, muntah proyektil, sakit kepala",Meningitis + perdarahan subarachnoid
3,"Mata lengket, mata berair, pandangan sedikit kabur, kelopak mata membengkak",
4,"Pipi bengkak, nyeri saat mengunyah, nyeri testis",Parotitis
5,"Gusi bengkak, gusi kemerahan, gusi berdarah",
6,"Sakit gigi, gigi sensitif pada makanan dingin atau panas, gusi bengkak",Karies dentis
7,"Hidung tersumbat, bersin, batuk, sakit tenggorokan",Common cold
8,"Hidung keluar lendir, choncae nasal kebiruan, bersin-bersin",Rinitis alergi
9,"Hidung berlendir, demam, choncae nasal kemerahan, bersin-bersin",Rinitis bacterial
10,"Hidung bau, nyeri di dalam hidung, ada krusta di dalam hidung",Rinitis sika
11,"Cuping telinga sakit, cuping telinga berdungkul-dungkul, demam",Perikondritis
12,"Telinga sakit, keluar lendir dari telinga, pendengaran tidak terganggu, nyeri mengunyah",Otitis eksterna
13,"Nyeri telinga, telinga terasa penuh, bisa demam",Otitis media stadium oklusi
14,"Nyeri telinga, mukosa telinga edem, gendang telinga kemerahan",Otitis media stadium hiperemis
15,"Nyeri telinga hebat, demam tinggi, gendang telinga menonjol (bulging)",Otitis media stadium supurasi
16,"Nyeri telinga, keluar nanah dari telinga, demam berkurang",Otitis media stadium perforasi
17,"Sakit tenggorokan, demam, faring berwarna merah",Faringitis
18,"Suara serak, demam, sakit kerongkongan",Laringitis
19,"Batuk lebih dari tiga minggu, sesak napas atau nyeri dada, dahak berdarah, keringat malam, nafsu makan berkurang, berat badan menurun",
20,"Demam, menggigil, suhu tubuh meningkat, batuk berdahak kadang disertai darah, sesak nafas, nyeri dada",
21,"Batuk, batuk darah, sesak napas, demam berulang, napas baru, napas bau",Bronkiektasis
22,"Demam, menggigil, batuk produktif dengan sputum amis, sputum kuning kehijauan",Abses paru
23,"Nyeri ulu hati, nyeri jika belum makan, lemas",Gastritis
24,"Nyeri perut sebelah kanan atas, perut terasa begah/kembung, pipis seperti teh, feses warna pucat.",Hepatitis
25,"Nyeri perut kanan atas, pipis seperti teh, perempuan, obesitas, fertile, feses warna pucat, demam",Cholesistitis
26,"Nyeri perut sebelah kanan bawah, awalnya nyeri di sekitar daerah pusar, lemas",Appendicitis
27,"Nyeri di seluruh bagian perut, tidak nafsu makan, BAB terganggu",Peritonitis
28,"BAB berdarah, nyeri perut, BAB berlendir",Kolitis
29,"Diare dengan feses seperti cucian beras, dehidrasi, lemas, muntah hebat",Kolera
30,"Demam, muntah, diare cair, ampas sedikit seperti biji Lombok, feses asam",
31,"Diare cair dengan ampas banyak, volume banyak, nyeri saat BAB",Diare bacterial
32,"Feses berdarah, riwayat makanan tidak bersih, diare tidak terlalu sering",Disentri
33,"Demam, kaku tubuh, kaku rahang",Tetanus
34,"Demam, kelemahan otot, hipotonia",Botulisme Infantilis
35,"Nyeri saat berhubungan seks, nyeri daerah pinggul, sekret mucoid dari vagina",Servisitis
36,"Demam, pembengkakan pada KGB (kelenjar getah bening), tubuh terasa sakit, memerah dan membengkak.",Filariasis
37,"Nyeri kolik daerah pinggang, malaise, mual, kencing bisa berdarah",
38,"Nyeri pinggang, kencing mikrohematuria, demam",Pyelonephritis
39,"Nyeri saat kencing, kencing bernanah, demam, riwayat seks bebas atau oral seks",Gonore
40,"Luka tidak nyeri di daerah penis, riwayat seks bebas, demam",Sifilis
41,"Demam sore hari, diare, tubuh lemas",Typhoid
42,"Demam tinggi, diare, mual muntah",Shigellosis
43,"Batuk hebat dengan suara melengking, gelisah, bersin-bersin",Pertussis
44,"Demam, nyeri, vesikel dengan persebaran sesuai dermatom. Warna merah",Herpes zoster
45,"Vesikul di kulit berbentuk kubah berisi delle (seperti nasi), demam, lemas",Moluscum contagiosum
46,"Demam pola pelana kuda, bitnik-bintik merah di kulit, lemas, dehidrasi, riwayat digigit nyamuk",DBD
47,"bercak tipis seperti panu di badan yang lama-lama menyebar, bintil-bintil kemerahan, alis rambut rontok, muka benjol-benjol dan tegang, kulit menipis dan mengkilat",Kusta
48,"Nyeri di daerah pinggang secara menyeluruh, demam, malaise",Pelvic inflammatory disease
49,"Demam, kulit kemerahan, vesikel dengan pola garis lurus, riwayat digigit tomcat",Dermatitis venenata
50,"Sering kencing, nyeri di daerah perut bagian bawah, demam, sakit saat kencing",Sistitis
51,"timbul papula yang akan berubah segera menjadi vesikuler yang berisi cairan berwarna biru gelap, demam subfebris, sakit kepala",Antrax Kutaneus
52,"Demam, nyeri perut, mual muntah, lemas, muntah darah, diare berdarah, selera makan turun",Antrax intestinal
53,"mual, muntah, kram perut, mulut kering dan diare. Gejala saraf:pandangan kabur, kelopak mata jatuh, fotofobia, kekakuan sendi,  gangguan bicara dan tidak dapat menelan makanan. Kelemahan otot (otot penggerak kepala, otot lengan atas, otot pernapasan, otot tungkai bagian bawah.",Botulismus
54,"nyeri pelvic, secret mikropurulen, erosi serviks",Servisitis
